City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
498,Maldonado,UY,87.19,scattered clouds,-34.6667,-54.9167,La Cimarrona
512,Mangrol,IN,75.16,clear sky,21.1167,70.1167,Hotel The Royal Honours
515,Bartica,GY,79.12,light rain,6.4,-58.6167,Sloth Island Nature Resort
529,Koungou,YT,80.31,few clouds,-12.7336,45.2042,Villa Netibor
533,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
534,Oriximina,BR,86.59,moderate rain,-1.7656,-55.8661,Pousada Tia Amélia
536,Balikpapan,ID,75.78,overcast clouds,-1.2675,116.8289,ibis Balikpapan
539,Praia,CV,82.94,scattered clouds,14.9215,-23.5087,LT Aparthotel
541,Bela Vista,BR,82.9,overcast clouds,-22.1089,-56.5211,Bella Vista Palace Hotel
542,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
544,Touros,BR,88.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
548,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
560,Itarema,BR,88.59,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
562,Harper,LR,82.76,scattered clouds,4.375,-7.7169,Screensaver
563,Lodwar,KE,86.02,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
573,Cayenne,GF,82.44,light rain,4.9333,-52.3333,Hôtel Le Dronmi
574,Kismayo,SO,80.35,scattered clouds,-0.3582,42.5454,Agan-Hotel
576,Labuhan,ID,78.71,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
581,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
582,Funadhoo,MV,82.69,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
588,Takoradi,GH,83.19,scattered clouds,4.8845,-1.7554,Raybow International Hotel
591,Itabira,BR,79.79,broken clouds,-19.6192,-43.2269,Premium Executive Hotel
594,Lamu,KE,80.82,light rain,-2.2717,40.902,Lamu House
595,Dogondoutchi,NE,86.7,overcast clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
597,Itarantim,BR,84.33,overcast clouds,-15.6597,-40.0656,Pousada Buterfly
598,Sumter,US,82.2,overcast clouds,28.7086,-82.0831,Paradise Oaks RV Resort
599,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
601,Bafia,CM,79.45,overcast clouds,4.75,11.2333,Rim touristique hôtel
603,Namatanai,PG,79.18,light rain,-3.6667,152.4333,Seagulls Inn Namatani
605,Hobyo,SO,79.27,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
607,Kirakira,SB,81.27,overcast clouds,-10.4544,161.9205,SanBiz Lodge
609,Conceicao Do Araguaia,BR,84.24,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
615,Bria,CF,84.34,overcast clouds,6.5423,21.9863,WFP Guesthouse
623,Puerto Ayacucho,VE,87.58,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
638,Nabire,ID,77.14,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
639,Nisia Floresta,BR,89.98,few clouds,-6.0911,-35.2086,Rancho Crepusculo
644,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
646,Pontianak,ID,75.79,moderate rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
648,Daru,PG,77.2,light rain,-9.0763,143.2092,Daru Lodge
650,Les Cayes,HT,86.68,clear sky,18.2,-73.75,Villa Orphee
657,Grand-Lahou,CI,82.78,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
667,Manokwari,ID,79.79,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
668,Bermejo,AR,75.11,scattered clouds,-32.8833,-68.8,Muras Apart Hotel
669,Mayumba,GA,76.03,overcast clouds,-3.432,10.6554,LIKWALE LODGE
684,Ambilobe,MG,77.67,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
687,Rocha,UY,87.85,few clouds,-34.4833,-54.3333,Hotel Arrarte
693,Mana,GF,77.0,overcast clouds,5.6592,-53.7767,LE SAMANA
708,Banjar,ID,78.39,overcast clouds,-8.19,114.9675,The Hamsa Resort
715,Kandrian,PG,77.97,moderate rain,-6.2167,149.55,Kandrian Station
716,Gilbues,BR,81.07,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
717,Dzaoudzi,YT,80.49,few clouds,-12.7887,45.2699,Le Rocher
