City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kapaa,US,75.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Sao Joao Da Barra,BR,87.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
4,Poso,ID,78.48,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
5,Nortelandia,BR,76.91,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
10,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Bambous Virieux,MU,79.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
24,Tonota,BW,85.87,overcast clouds,-21.4833,27.4833,Semotswane Baraka Lodge
32,Rikitea,PF,77.11,broken clouds,-23.1203,-134.9692,People ThankYou
35,Castro,BR,86.18,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
36,Chimoio,MZ,85.86,few clouds,-19.1164,33.4833,Predio Livraria Ahmed
37,Kieta,PG,79.72,light rain,-6.2167,155.6333,Uruna Bay Retreat
47,Butaritari,KI,82.09,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
48,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
57,Iquitos,PE,89.64,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
58,Kalabo,ZM,84.67,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
61,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
63,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
67,Florianopolis,BR,84.25,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
68,Tonj,SS,87.06,overcast clouds,7.2737,28.6822,Lakan Hotel
72,Matara,LK,78.21,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
73,Gambela,ET,86.68,broken clouds,8.25,34.5833,Solomon Debebe Hotel
74,Poum,NC,77.85,light rain,-20.2333,164.0167,Gîte kajeon
75,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
87,Vitoria Da Conquista,BR,78.31,broken clouds,-14.8661,-40.8394,Hotel Universo
88,Bonthe,SL,83.93,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
91,Adelaide,AU,76.86,clear sky,-34.9333,138.6,The Chancellor on Currie
100,Kilindoni,TZ,80.28,broken clouds,-7.9139,39.6668,Bustani B&B
