,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Upernavik,GL,72.7868,-56.1549,3.31,93,100,9.55,overcast clouds
81,Constitucion,CL,-35.3333,-72.4167,63.07,56,6,17.38,clear sky
82,Pangkalanbuun,ID,-2.6833,111.6167,74.88,98,100,2.75,overcast clouds
83,Empangeni,ZA,-28.762,31.8933,73.06,93,99,6.53,light rain
84,Grindavik,IS,63.8424,-22.4338,41.47,87,75,23.02,broken clouds
85,Maniitsoq,GL,65.4167,-52.9,17.37,71,61,5.82,broken clouds
86,Neon Karlovasion,GR,37.7903,26.7044,60.91,89,100,7.4,overcast clouds
87,Vitoria Da Conquista,BR,-14.8661,-40.8394,78.31,62,83,5.21,broken clouds
88,Bonthe,SL,7.5264,-12.505,83.93,69,94,10.38,overcast clouds
89,Walvis Bay,NA,-22.9575,14.5053,76.15,50,0,16.11,clear sky
90,Medicine Hat,CA,50.0501,-110.6683,34.79,71,75,3.0,broken clouds
91,Adelaide,AU,-34.9333,138.6,76.86,56,0,0.0,clear sky
92,Carrickfergus,GB,54.7158,-5.8058,54.36,93,90,3.0,overcast clouds
93,Ojinaga,MX,29.5667,-104.4167,57.58,34,1,0.0,clear sky
94,Letterkenny,IE,54.95,-7.7333,57.09,86,100,18.63,overcast clouds
95,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,84,90,16.11,light snow
96,Nikolskoye,RU,59.7035,30.7861,22.91,97,97,5.21,overcast clouds
97,Kedrovyy,RU,56.1667,91.8167,10.87,95,100,8.19,light snow
98,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.55,46,40,32.21,light rain
99,Lagoa,PT,39.05,-27.9833,55.99,62,99,30.11,overcast clouds
100,Kilindoni,TZ,-7.9139,39.6668,80.28,76,69,10.67,broken clouds
101,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,77,20,8.05,few clouds
102,Saskylakh,RU,71.9167,114.0833,-45.11,100,73,3.27,broken clouds
103,Esperance,AU,-33.8667,121.9,51.64,60,62,7.74,broken clouds
104,Vaini,TO,-21.2,-175.2,75.36,94,40,4.61,light rain
105,Carnarvon,AU,-24.8667,113.6333,69.87,78,40,25.32,scattered clouds
106,Henties Bay,NA,-22.116,14.2845,64.85,76,1,11.41,clear sky
107,Majene,ID,-3.5403,118.9707,77.97,85,100,5.3,overcast clouds
108,Vallenar,CL,-28.5708,-70.7581,81.86,18,0,13.27,clear sky
109,Krasnoselkup,RU,65.7,82.4667,-12.91,90,100,6.78,overcast clouds
110,Uyuni,BO,-20.4597,-66.825,55.18,18,0,17.18,clear sky
